ID,LABEL,Type,SubClass Of,is_unit_of,Equivalent Class,comment,hasExactSynonym,hasRelatedSynonym,,,,,,,,,,,,,,,,,,
ID,A rdfs:label,TYPE,SC % SPLIT=|,SC (is_unit_of only %) SPLIT=|,EC % SPLIT=|,A rdfs:comment,A oboInOwl:hasExactSynonym SPLIT=|,A oboInOwl:hasRelatedSynonym SPLIT=|,,,,,,,,,,,,,,,,,,
PATO:0000008,,class,,,,,,,,,,,,,,,,,,,,,,,,
PATO:0000033,,class,,,,,,,,,,,,,,,,,,,,,,,,
PATO:0000044,,class,,,,,,,,,,,,,,,,,,,,,,,,
PATO:0000125,,class,,,,,,,,,,,,,,,,,,,,,,,,
PATO:0000128,,class,,,,,,,,,,,,,,,,,,,,,,,,
PATO:0000133,,class,,,,,,,,,,,,,,,,,,,,,,,,
PATO:0000146,,class,,,,,,,,,,,,,,,,,,,,,,,,
PATO:0000165,,class,,,,,,,,,,,,,,,,,,,,,,,,
PATO:0000992,,class,,,,,,,,,,,,,,,,,,,,,,,,
PATO:0001019,,class,,,,,,,,,,,,,,,,,,,,,,,,
PATO:0001021,,class,,,,,,,,,,,,,,,,,,,,,,,,
PATO:0001022,,class,,,,,,,,,,,,,,,,,,,,,,,,
PATO:0001023,,class,,,,,,,,,,,,,,,,,,,,,,,,
PATO:0001024,,class,,,,,,,,,,,,,,,,,,,,,,,,
PATO:0001025,,class,,,,,,,,,,,,,,,,,,,,,,,,
PATO:0001026,,class,,,,,,,,,,,,,,,,,,,,,,,,
PATO:0001028,,class,,,,,,,,,,,,,,,,,,,,,,,,
PATO:0001035,,class,,,,,,,,,,,,,,,,,,,,,,,,
PATO:0001296,,class,,,,,,,,,,,,,,,,,,,,,,,,
PATO:0001299,,class,,,,,,,,,,,,,,,,,,,,,,,,
PATO:0001309,,class,,,,,,,,,,,,,,,,,,,,,,,,
PATO:0001350,,class,,,,,,,,,,,,,,,,,,,,,,,,
PATO:0001351,,class,,,,,,,,,,,,,,,,,,,,,,,,
PATO:0001352,,class,,,,,,,,,,,,,,,,,,,,,,,,
PATO:0001353,,class,,,,,,,,,,,,,,,,,,,,,,,,
PATO:0001413,,class,,,,,,,,,,,,,,,,,,,,,,,,
PATO:0001414,,class,,,,,,,,,,,,,,,,,,,,,,,,
PATO:0001428,,class,,,,,,,,,,,,,,,,,,,,,,,,
PATO:0001461,,class,,,,,,,,,,,,,,,,,,,,,,,,
PATO:0001464,,class,,,,,,,,,,,,,,,,,,,,,,,,
PATO:0001521,,class,,,,,,,,,,,,,,,,,,,,,,,,
PATO:0001574,,class,,,,,,,,,,,,,,,,,,,,,,,,
PATO:0001674,,class,,,,,,,,,,,,,,,,,,,,,,,,
PATO:0001680,,class,,,,,,,,,,,,,,,,,,,,,,,,
PATO:0001681,,class,,,,,,,,,,,,,,,,,,,,,,,,
PATO:0001682,,class,,,,,,,,,,,,,,,,,,,,,,,,
PATO:0001708,,class,,,,,,,,,,,,,,,,,,,,,,,,
