ID,LABEL,Type,SubClass Of,Equivalent Class,comment,hasExactSynonym,hasRelatedSynonym
PATO:0000008,,Class,,,,,
PATO:0000033,,Class,,,,,
PATO:0000044,,Class,,,,,
PATO:0000125,,Class,,,,,
PATO:0000128,,Class,,,,,
PATO:0000133,,Class,,,,,
PATO:0000146,,Class,,,,,
PATO:0000165,,Class,,,,,
PATO:0000992,,Class,,,,,
PATO:0001019,,Class,,,,,
PATO:0001021,,Class,,,,,
PATO:0001022,,Class,,,,,
PATO:0001023,,Class,,,,,
PATO:0001024,,Class,,,,,
PATO:0001025,,Class,,,,,
PATO:0001026,,Class,,,,,
PATO:0001028,,Class,,,,,
PATO:0001035,,Class,,,,,
PATO:0001296,,Class,,,,,
PATO:0001299,,Class,,,,,
PATO:0001309,,Class,,,,,
PATO:0001350,,Class,,,,,
PATO:0001351,,Class,,,,,
PATO:0001352,,Class,,,,,
PATO:0001353,,Class,,,,,
PATO:0001413,,Class,,,,,
PATO:0001414,,Class,,,,,
PATO:0001428,,Class,,,,,
PATO:0001461,,Class,,,,,
PATO:0001464,,Class,,,,,
PATO:0001521,,Class,,,,,
PATO:0001574,,Class,,,,,
PATO:0001674,,Class,,,,,
PATO:0001680,,Class,,,,,
PATO:0001681,,Class,,,,,
PATO:0001682,,Class,,,,,
PATO:0001708,,Class,,,,,
PATO:0001709,,Class,,,,,
PATO:0001710,,Class,,,,,
PATO:0001717,,Class,,,,,
PATO:0001718,,Class,,,,,
PATO:0001740,,Class,,,,,
PATO:0001744,,Class,,,,,
PATO:0001745,,Class,,,,,
PATO:0001746,,Class,,,,,
PATO:0001747,,Class,,,,,
PATO:0001756,,Class,,,,,
PATO:0001757,,Class,,,,,
UO:0000000,unit,Class,,,"""A unit of measurement is a standardized quantity of a physical quality."" [Wikipedia:Wikipedia]",,
UO:0000001,length unit,Class,obo:is_unit_of only (PATO:0001708)|unit,,"""A unit which is a standard measure of the distance between two points."" [Wikipedia:Wikipedia]",,
UO:0000002,mass unit,Class,obo:is_unit_of only (PATO:0000125 or PATO:0000128)|unit,,"""A unit which is a standard measure of the amount of matter/energy of a physical object."" [Wikipedia:Wikipedia]",,
UO:0000003,time unit,Class,obo:is_unit_of only (PATO:0000165 or PATO:0001309)|unit,,"""A unit which is a standard measure of the dimension in which events occur in sequence."" [Wikipedia:Wikipedia]",time derived unit,
UO:0000004,electric current unit,Class,unit,,"""A unit which is a standard measure of the flow of electric charge."" [Wikipedia:Wikipedia]",,
UO:0000005,temperature unit,Class,obo:is_unit_of only (PATO:0000146)|unit,,"""A unit which is a standard measure of the average kinetic energy of the particles in a sample of matter."" [Wikipedia:Wikipedia]",temperature derived unit,
UO:0000006,substance unit,Class,unit,,"""A unit which is a standardised quantity of an element or compound with uniform composition."" [Wikipedia:Wikipedia]",,
UO:0000007,luminous intensity unit,Class,light unit,,"""A unit which is a standard measure of the wavelength-weighted power emitted by a light source in a particular direction."" [Wikipedia:Wikipedia]",,
UO:0000008,meter,Named individual,,,"""A length unit which is equal to the length of the path traveled by light in vacuum during a time interval of 1/299 792 458 of a second."" [BIPM:BIPM, NIST:NIST]",m|metre,
UO:0000008,meter,Class,base unit|length unit|meter based unit,{meter},"""A length unit which is equal to the length of the path traveled by light in vacuum during a time interval of 1/299 792 458 of a second."" [BIPM:BIPM, NIST:NIST]",m|metre,
UO:0000009,kilogram,Named individual,,,"""A mass unit which is equal to the mass of the International Prototype Kilogram kept by the BIPM at Svres, France."" [BIPM:BIPM, NIST:NIST]",kg,
UO:0000009,kilogram,Class,base unit|mass unit,'gram based unit' and (obo:has_prefix some kilo)|{kilogram},"""A mass unit which is equal to the mass of the International Prototype Kilogram kept by the BIPM at Svres, France."" [BIPM:BIPM, NIST:NIST]",kg,
UO:0000010,second,Named individual,,,"""A time unit which is equal to the duration of 9 192 631 770 periods of the radiation corresponding to the transition between the two hyperfine levels of the ground state of the caesium 133 atom."" [BIPM:BIPM, NIST:NIST]",s,
UO:0000010,second,Class,base unit|second based unit|time unit,{second},"""A time unit which is equal to the duration of 9 192 631 770 periods of the radiation corresponding to the transition between the two hyperfine levels of the ground state of the caesium 133 atom."" [BIPM:BIPM, NIST:NIST]",s,
UO:0000011,ampere,Named individual,,,"""An electric current unit which is equal to the constant current which, if maintained in two straight parallel conductors of infinite length, of negligible circular cross-section, and placed 1 m apart in vacuum, would produce between these conductors a force equal to 2 x 10^[-7] newton per meter of length."" [BIPM:BIPM, NIST:NIST]",A,
UO:0000011,ampere,Class,ampere based unit|base unit|electric current unit,{ampere},"""An electric current unit which is equal to the constant current which, if maintained in two straight parallel conductors of infinite length, of negligible circular cross-section, and placed 1 m apart in vacuum, would produce between these conductors a force equal to 2 x 10^[-7] newton per meter of length."" [BIPM:BIPM, NIST:NIST]",A,
UO:0000012,kelvin,Named individual,,,"""A thermodynamic temperature unit which is equal to the fraction 1/273.16 of the thermodynamic temperature of the triple point of water."" [BIPM:BIPM, NIST:NIST]",K,
