OM label,OM ID
acre (US survey),http://www.ontology-of-units-of-measure.org/resource/om-2/acre-USSurvey
acre foot,http://www.ontology-of-units-of-measure.org/resource/om-2/acreFoot
amylase unit,http://www.ontology-of-units-of-measure.org/resource/om-2/amylaseUnit
are,http://www.ontology-of-units-of-measure.org/resource/om-2/are
astronomical unit,http://www.ontology-of-units-of-measure.org/resource/om-2/astronomicalUnit
atmosphere (standard),http://www.ontology-of-units-of-measure.org/resource/om-2/atmosphere-Standard
atmosphere (technical),http://www.ontology-of-units-of-measure.org/resource/om-2/atmosphere-Technical
bar,http://www.ontology-of-units-of-measure.org/resource/om-2/bar
barn,http://www.ontology-of-units-of-measure.org/resource/om-2/barn
barrel (US),http://www.ontology-of-units-of-measure.org/resource/om-2/barrel-US
barye,http://www.ontology-of-units-of-measure.org/resource/om-2/barye
baud,http://www.ontology-of-units-of-measure.org/resource/om-2/baud
bel,http://www.ontology-of-units-of-measure.org/resource/om-2/bel
biot,http://www.ontology-of-units-of-measure.org/resource/om-2/biot
bowl,http://www.ontology-of-units-of-measure.org/resource/om-2/bowl
British thermal unit (39 °F),http://www.ontology-of-units-of-measure.org/resource/om-2/BritishThermalUnit-39F
British thermal unit (59 °F),http://www.ontology-of-units-of-measure.org/resource/om-2/BritishThermalUnit-59F
British thermal unit (60 °F),http://www.ontology-of-units-of-measure.org/resource/om-2/BritishThermalUnit-60F
British thermal unit (International Table),http://www.ontology-of-units-of-measure.org/resource/om-2/BritishThermalUnit-InternationalTable
British thermal unit (mean),http://www.ontology-of-units-of-measure.org/resource/om-2/BritishThermalUnit-Mean
British thermal unit (thermochemical),http://www.ontology-of-units-of-measure.org/resource/om-2/BritishThermalUnit-Thermochemical
bushel (US),http://www.ontology-of-units-of-measure.org/resource/om-2/bushel-US
calorie (15 °C),http://www.ontology-of-units-of-measure.org/resource/om-2/calorie-15C
calorie (20 °C),http://www.ontology-of-units-of-measure.org/resource/om-2/calorie-20C
calorie (International Table),http://www.ontology-of-units-of-measure.org/resource/om-2/calorie-InternationalTable
calorie (mean),http://www.ontology-of-units-of-measure.org/resource/om-2/calorie-Mean
calorie (thermochemical),http://www.ontology-of-units-of-measure.org/resource/om-2/calorie-Thermochemical
carat (mass),http://www.ontology-of-units-of-measure.org/resource/om-2/carat-Mass
cicero,http://www.ontology-of-units-of-measure.org/resource/om-2/cicero
circular mil,http://www.ontology-of-units-of-measure.org/resource/om-2/circularMil
cord,http://www.ontology-of-units-of-measure.org/resource/om-2/cord
coverage,http://www.ontology-of-units-of-measure.org/resource/om-2/Coverage
coverage,http://www.ontology-of-units-of-measure.org/resource/om-2/Coverage
cup,http://www.ontology-of-units-of-measure.org/resource/om-2/cup
darcy,http://www.ontology-of-units-of-measure.org/resource/om-2/darcy
dash,http://www.ontology-of-units-of-measure.org/resource/om-2/dash
day (sidereal),http://www.ontology-of-units-of-measure.org/resource/om-2/day-Sidereal
debye,http://www.ontology-of-units-of-measure.org/resource/om-2/debye
deep bowl,http://www.ontology-of-units-of-measure.org/resource/om-2/deepBowl
degree Rankine,http://www.ontology-of-units-of-measure.org/resource/om-2/degreeRankine
degree Réaumur,http://www.ontology-of-units-of-measure.org/resource/om-2/degreeReaumur
degree squared,http://www.ontology-of-units-of-measure.org/resource/om-2/degreeSquared
delta A450,http://www.ontology-of-units-of-measure.org/resource/om-2/deltaA450
dessertspoon,http://www.ontology-of-units-of-measure.org/resource/om-2/dessertspoon
dozen,http://www.ontology-of-units-of-measure.org/resource/om-2/dozen
drop,http://www.ontology-of-units-of-measure.org/resource/om-2/drop
dry gallon (US),http://www.ontology-of-units-of-measure.org/resource/om-2/dryGallon-US
dry pint (US),http://www.ontology-of-units-of-measure.org/resource/om-2/dryPint-US
dry quart (US),http://www.ontology-of-units-of-measure.org/resource/om-2/dryQuart-US
dyne,http://www.ontology-of-units-of-measure.org/resource/om-2/dyne
erg,http://www.ontology-of-units-of-measure.org/resource/om-2/erg
farad,http://www.ontology-of-units-of-measure.org/resource/om-2/farad
faraday,http://www.ontology-of-units-of-measure.org/resource/om-2/faraday
fathom (US survey),http://www.ontology-of-units-of-measure.org/resource/om-2/fathom-USSurvey
fermi,http://www.ontology-of-units-of-measure.org/resource/om-2/fermi
fillet,http://www.ontology-of-units-of-measure.org/resource/om-2/fillet
fluid ounce (US),http://www.ontology-of-units-of-measure.org/resource/om-2/fluidOunce-US
foot (US survey),http://www.ontology-of-units-of-measure.org/resource/om-2/foot-USSurvey
foot poundal,http://www.ontology-of-units-of-measure.org/resource/om-2/footPoundal
footcandle,http://www.ontology-of-units-of-measure.org/resource/om-2/footcandle
footlambert,http://www.ontology-of-units-of-measure.org/resource/om-2/footlambert
franklin,http://www.ontology-of-units-of-measure.org/resource/om-2/franklin
gal,http://www.ontology-of-units-of-measure.org/resource/om-2/gal
gallon (US),http://www.ontology-of-units-of-measure.org/resource/om-2/gallon-US
gamma,http://www.ontology-of-units-of-measure.org/resource/om-2/gamma
gauss,http://www.ontology-of-units-of-measure.org/resource/om-2/gauss
gilbert,http://www.ontology-of-units-of-measure.org/resource/om-2/gilbert
gill (US),http://www.ontology-of-units-of-measure.org/resource/om-2/gill-US
glass,http://www.ontology-of-units-of-measure.org/resource/om-2/glass
gon,http://www.ontology-of-units-of-measure.org/resource/om-2/gon
gross,http://www.ontology-of-units-of-measure.org/resource/om-2/gross
half dozen,http://www.ontology-of-units-of-measure.org/resource/om-2/halfDozen
handful,http://www.ontology-of-units-of-measure.org/resource/om-2/handful
hartley,http://www.ontology-of-units-of-measure.org/resource/om-2/hartley
henry,http://www.ontology-of-units-of-measure.org/resource/om-2/henry
horsepower (boiler),http://www.ontology-of-units-of-measure.org/resource/om-2/horsepower-Boiler
horsepower (British),http://www.ontology-of-units-of-measure.org/resource/om-2/horsepower-British
horsepower (electric),http://www.ontology-of-units-of-measure.org/resource/om-2/horsepower-Electric
horsepower (metric),http://www.ontology-of-units-of-measure.org/resource/om-2/horsepower-Metric
horsepower (water),http://www.ontology-of-units-of-measure.org/resource/om-2/horsepower-Water
hour (hour angle),http://www.ontology-of-units-of-measure.org/resource/om-2/hour-HourAngle
hour (sidereal),http://www.ontology-of-units-of-measure.org/resource/om-2/hour-Sidereal
hundred count,http://www.ontology-of-units-of-measure.org/resource/om-2/hundredCount
hundredweight (British),http://www.ontology-of-units-of-measure.org/resource/om-2/hundredweight-British
hundredweight (US),http://www.ontology-of-units-of-measure.org/resource/om-2/hundredweight-US
International Unit,http://www.ontology-of-units-of-measure.org/resource/om-2/InternationalUnit
jansky,http://www.ontology-of-units-of-measure.org/resource/om-2/jansky
kayser,http://www.ontology-of-units-of-measure.org/resource/om-2/kayser
knot (international),http://www.ontology-of-units-of-measure.org/resource/om-2/knot-International
lambert,http://www.ontology-of-units-of-measure.org/resource/om-2/lambert
light year,http://www.ontology-of-units-of-measure.org/resource/om-2/lightYear
liquid pint (US),http://www.ontology-of-units-of-measure.org/resource/om-2/liquidPint-US
liquid quart (US),http://www.ontology-of-units-of-measure.org/resource/om-2/liquidQuart-US
maxwell,http://www.ontology-of-units-of-measure.org/resource/om-2/maxwell
mil (angle),http://www.ontology-of-units-of-measure.org/resource/om-2/mil-Angle
mile (statute),http://www.ontology-of-units-of-measure.org/resource/om-2/mile-Statute
mile (statute) per hour,http://www.ontology-of-units-of-measure.org/resource/om-2/mile-StatutePerHour
milligram RAE,http://www.ontology-of-units-of-measure.org/resource/om-2/milligramRAE
minute (angle),http://www.ontology-of-units-of-measure.org/resource/om-2/minute-Angle
minute (hour angle),http://www.ontology-of-units-of-measure.org/resource/om-2/minute-HourAngle
minute (sidereal),http://www.ontology-of-units-of-measure.org/resource/om-2/minute-Sidereal
nautical mile (international),http://www.ontology-of-units-of-measure.org/resource/om-2/nauticalMile-International
number,http://www.ontology-of-units-of-measure.org/resource/om-2/Number
number,http://www.ontology-of-units-of-measure.org/resource/om-2/Number
oersted,http://www.ontology-of-units-of-measure.org/resource/om-2/oersted
ohm,http://www.ontology-of-units-of-measure.org/resource/om-2/ohm
one,http://www.ontology-of-units-of-measure.org/resource/om-2/one
ounce (apothecaries'),http://www.ontology-of-units-of-measure.org/resource/om-2/ounceApothecaries
parsec,http://www.ontology-of-units-of-measure.org/resource/om-2/parsec
peck (US),http://www.ontology-of-units-of-measure.org/resource/om-2/peck-US
pennyweight (Troy),http://www.ontology-of-units-of-measure.org/resource/om-2/pennyweight-Troy
perm (0 °C),http://www.ontology-of-units-of-measure.org/resource/om-2/perm-0C
perm (23 °C),http://www.ontology-of-units-of-measure.org/resource/om-2/perm-23C
phot,http://www.ontology-of-units-of-measure.org/resource/om-2/phot
pica (ATA),http://www.ontology-of-units-of-measure.org/resource/om-2/pica-ATA
pica (Postscript),http://www.ontology-of-units-of-measure.org/resource/om-2/pica-Postscript
pica (TeX),http://www.ontology-of-units-of-measure.org/resource/om-2/pica-TeX
piece,http://www.ontology-of-units-of-measure.org/resource/om-2/piece
pinch,http://www.ontology-of-units-of-measure.org/resource/om-2/pinch
pixel,http://www.ontology-of-units-of-measure.org/resource/om-2/pixel
point (ATA),http://www.ontology-of-units-of-measure.org/resource/om-2/point-ATA
point (Didot),http://www.ontology-of-units-of-measure.org/resource/om-2/point-Didot
point (Postscript),http://www.ontology-of-units-of-measure.org/resource/om-2/point-Postscript
point (TeX),http://www.ontology-of-units-of-measure.org/resource/om-2/point-TeX
portion,http://www.ontology-of-units-of-measure.org/resource/om-2/portion
pound (apthecaries'),http://www.ontology-of-units-of-measure.org/resource/om-2/poundApothecaries
pound-force,http://www.ontology-of-units-of-measure.org/resource/om-2/pound-Force
poundal,http://www.ontology-of-units-of-measure.org/resource/om-2/poundal
quad,http://www.ontology-of-units-of-measure.org/resource/om-2/quad
revolution,http://www.ontology-of-units-of-measure.org/resource/om-2/revolution
rhe,http://www.ontology-of-units-of-measure.org/resource/om-2/rhe
rod (US),http://www.ontology-of-units-of-measure.org/resource/om-2/rod-US
röntgen,http://www.ontology-of-units-of-measure.org/resource/om-2/röntgen
scoop,http://www.ontology-of-units-of-measure.org/resource/om-2/scoop
second (angle),http://www.ontology-of-units-of-measure.org/resource/om-2/second-Angle
second (hour angle),http://www.ontology-of-units-of-measure.org/resource/om-2/second-HourAngle
second (sidereal),http://www.ontology-of-units-of-measure.org/resource/om-2/second-Sidereal
serving spoon,http://www.ontology-of-units-of-measure.org/resource/om-2/servingSpoon
shake,http://www.ontology-of-units-of-measure.org/resource/om-2/shake
shannon,http://www.ontology-of-units-of-measure.org/resource/om-2/shannon
slice,http://www.ontology-of-units-of-measure.org/resource/om-2/slice
solar luminosity,http://www.ontology-of-units-of-measure.org/resource/om-2/solarLuminosity
solar mass,http://www.ontology-of-units-of-measure.org/resource/om-2/solarMass
solar radius,http://www.ontology-of-units-of-measure.org/resource/om-2/solarRadius
stere,http://www.ontology-of-units-of-measure.org/resource/om-2/stere
stick stone,http://www.ontology-of-units-of-measure.org/resource/om-2/StickStone
stick stone,http://www.ontology-of-units-of-measure.org/resource/om-2/StickStone
stilb,http://www.ontology-of-units-of-measure.org/resource/om-2/stilb
stokes,http://www.ontology-of-units-of-measure.org/resource/om-2/stokes
tablespoon (US),http://www.ontology-of-units-of-measure.org/resource/om-2/tablespoon-US
teaspoon (US),http://www.ontology-of-units-of-measure.org/resource/om-2/teaspoon-US
therm (EC),http://www.ontology-of-units-of-measure.org/resource/om-2/therm-EC
therm (US),http://www.ontology-of-units-of-measure.org/resource/om-2/therm-US
thousand piece,http://www.ontology-of-units-of-measure.org/resource/om-2/thousandPiece
ton (register),http://www.ontology-of-units-of-measure.org/resource/om-2/ton-Register
ton (short assay),http://www.ontology-of-units-of-measure.org/resource/om-2/ton-ShortAssay
ton (short),http://www.ontology-of-units-of-measure.org/resource/om-2/ton-Short
ton-force (short),http://www.ontology-of-units-of-measure.org/resource/om-2/ton-Force-Short
tonne,http://www.ontology-of-units-of-measure.org/resource/om-2/tonne
torr,http://www.ontology-of-units-of-measure.org/resource/om-2/torr
unit pole,http://www.ontology-of-units-of-measure.org/resource/om-2/unitPole
wedge,http://www.ontology-of-units-of-measure.org/resource/om-2/wedge
year (sidereal),http://www.ontology-of-units-of-measure.org/resource/om-2/year-Sidereal
year (tropical),http://www.ontology-of-units-of-measure.org/resource/om-2/year-Tropical
