UO ID,UO label,OM label,OM ID
UO:0000000,unit,unit,http://www.ontology-of-units-of-measure.org/resource/om-2/Unit
UO:0000001,length unit,length unit,http://www.ontology-of-units-of-measure.org/resource/om-2/LengthUnit
UO:0000002,mass unit,mass unit,http://www.ontology-of-units-of-measure.org/resource/om-2/MassUnit
UO:0000003,time unit,time unit,http://www.ontology-of-units-of-measure.org/resource/om-2/TimeUnit
UO:0000004,electric current unit,electric current unit,http://www.ontology-of-units-of-measure.org/resource/om-2/ElectricCurrentUnit
UO:0000005,temperature unit,temperature unit,http://www.ontology-of-units-of-measure.org/resource/om-2/TemperatureUnit
UO:0000007,luminous intensity unit,luminous intensity unit,http://www.ontology-of-units-of-measure.org/resource/om-2/LuminousIntensityUnit
UO:0000008,meter,metre,http://www.ontology-of-units-of-measure.org/resource/om-2/metre
UO:0000009,kilogram,kilogram,http://www.ontology-of-units-of-measure.org/resource/om-2/kilogram
UO:0000010,second,second,http://www.ontology-of-units-of-measure.org/resource/om-2/second-Time
UO:0000011,ampere,ampere,http://www.ontology-of-units-of-measure.org/resource/om-2/ampere
UO:0000012,kelvin,kelvin,http://www.ontology-of-units-of-measure.org/resource/om-2/kelvin
UO:0000013,mole,mole,http://www.ontology-of-units-of-measure.org/resource/om-2/mole
UO:0000014,candela,candela,http://www.ontology-of-units-of-measure.org/resource/om-2/candela
UO:0000015,centimeter,centimetre,http://www.ontology-of-units-of-measure.org/resource/om-2/centimetre
UO:0000016,millimeter,micrometre,http://www.ontology-of-units-of-measure.org/resource/om-2/micrometre
UO:0000017,micrometer,micrometre,http://www.ontology-of-units-of-measure.org/resource/om-2/micrometre
UO:0000017,micrometer,micron,http://www.ontology-of-units-of-measure.org/resource/om-2/micron
UO:0000018,nanometer,nanometre,http://www.ontology-of-units-of-measure.org/resource/om-2/nanometre
UO:0000019,angstrom,ångström,http://www.ontology-of-units-of-measure.org/resource/om-2/angstrom
UO:0000020,picometer,picometre,http://www.ontology-of-units-of-measure.org/resource/om-2/picometre
UO:0000021,gram,gram,http://www.ontology-of-units-of-measure.org/resource/om-2/gram
UO:0000022,milligram,milligram,http://www.ontology-of-units-of-measure.org/resource/om-2/milligram
UO:0000023,microgram,microgram,http://www.ontology-of-units-of-measure.org/resource/om-2/microgram
UO:0000024,nanogram,nanogram,http://www.ontology-of-units-of-measure.org/resource/om-2/nanogram
UO:0000025,picogram,picogram,http://www.ontology-of-units-of-measure.org/resource/om-2/picogram
UO:0000026,femtogram,femtogram,http://www.ontology-of-units-of-measure.org/resource/om-2/femtogram
UO:0000027,degree Celsius,degree Celsius,http://www.ontology-of-units-of-measure.org/resource/om-2/degreeCelsius
UO:0000028,millisecond,millisecond,http://www.ontology-of-units-of-measure.org/resource/om-2/millisecond-Time
UO:0000029,microsecond,microsecond,http://www.ontology-of-units-of-measure.org/resource/om-2/microsecond-Time
UO:0000030,picosecond,picosecond,http://www.ontology-of-units-of-measure.org/resource/om-2/picosecond-Time
UO:0000031,minute,minute,http://www.ontology-of-units-of-measure.org/resource/om-2/minute-Time
UO:0000032,hour,hour,http://www.ontology-of-units-of-measure.org/resource/om-2/hour
UO:0000033,day,day,http://www.ontology-of-units-of-measure.org/resource/om-2/day
UO:0000034,week,week,http://www.ontology-of-units-of-measure.org/resource/om-2/week
UO:0000035,month,month,http://www.ontology-of-units-of-measure.org/resource/om-2/month
UO:0000036,year,year,http://www.ontology-of-units-of-measure.org/resource/om-2/year
UO:0000037,milliampere,milliampere,http://www.ontology-of-units-of-measure.org/resource/om-2/milliampere
UO:0000038,microampere,microampere,http://www.ontology-of-units-of-measure.org/resource/om-2/microampere
UO:0000039,micromole,micromole,http://www.ontology-of-units-of-measure.org/resource/om-2/micromole
UO:0000040,millimole,millimole,http://www.ontology-of-units-of-measure.org/resource/om-2/millimole
UO:0000041,nanomole,nanomole,http://www.ontology-of-units-of-measure.org/resource/om-2/nanomole
UO:0000042,picomole,picomole,http://www.ontology-of-units-of-measure.org/resource/om-2/picomole
UO:0000043,femtomole,femtomole,http://www.ontology-of-units-of-measure.org/resource/om-2/femtomole
UO:0000044,attomole,attomole,http://www.ontology-of-units-of-measure.org/resource/om-2/attomole
UO:0000046,prefix,prefix,http://www.ontology-of-units-of-measure.org/resource/om-2/Prefix
UO:0000047,area unit,area unit,http://www.ontology-of-units-of-measure.org/resource/om-2/AreaUnit
UO:0000048,acceleration unit,acceleration unit,http://www.ontology-of-units-of-measure.org/resource/om-2/AccelerationUnit
UO:0000050,angular acceleration unit,angular acceleration unit,http://www.ontology-of-units-of-measure.org/resource/om-2/AngularAccelerationUnit
UO:0000053,luminance unit,luminance unit,http://www.ontology-of-units-of-measure.org/resource/om-2/LuminanceUnit
UO:0000054,area density unit,area density unit,http://www.ontology-of-units-of-measure.org/resource/om-2/AreaDensityUnit
UO:0000055,molar mass unit,molar mass unit,http://www.ontology-of-units-of-measure.org/resource/om-2/MolarMassUnit
UO:0000056,molar volume unit,molar volume unit,http://www.ontology-of-units-of-measure.org/resource/om-2/MolarVolumeUnit
UO:0000057,momentum unit,momentum unit,http://www.ontology-of-units-of-measure.org/resource/om-2/MomentumUnit
UO:0000059,specific volume unit,specific volume unit,http://www.ontology-of-units-of-measure.org/resource/om-2/SpecificVolumeUnit
UO:0000079,radian per second,radian per second,http://www.ontology-of-units-of-measure.org/resource/om-2/radianPerSecond-Time
UO:0000080,square meter,square metre,http://www.ontology-of-units-of-measure.org/resource/om-2/squareMetre
UO:0000081,square centimeter,square centimetre,http://www.ontology-of-units-of-measure.org/resource/om-2/squareCentimetre
UO:0000082,square millimeter,square millimetre,http://www.ontology-of-units-of-measure.org/resource/om-2/squareMillimetre
UO:0000083,kilogram per cubic meter,kilogram per cubic metre,http://www.ontology-of-units-of-measure.org/resource/om-2/kilogramPerCubicmetre
UO:0000084,gram per cubic centimeter,gram per cubic centimetre,http://www.ontology-of-units-of-measure.org/resource/om-2/gramPerCubicCentimetre
UO:0000085,candela per square meter,candela per square metre,http://www.ontology-of-units-of-measure.org/resource/om-2/candelaPerSquareMetre
UO:0000086,kilogram per square meter,kilogram per square metre,http://www.ontology-of-units-of-measure.org/resource/om-2/kilogramPerSquareMetre
UO:0000087,kilogram per mole,kilogram per mole,http://www.ontology-of-units-of-measure.org/resource/om-2/kilogramPerMole
UO:0000089,cubic meter per mole,cubic metre per mole,http://www.ontology-of-units-of-measure.org/resource/om-2/cubicMetrePerMole
UO:0000093,cubic meter per kilogram,cubic metre per kilogram,http://www.ontology-of-units-of-measure.org/resource/om-2/cubicMetrePerKilogram
UO:0000094,meter per second,metre per second,http://www.ontology-of-units-of-measure.org/resource/om-2/metrePerSecond-Time
UO:0000095,volume unit,volume unit,http://www.ontology-of-units-of-measure.org/resource/om-2/VolumeUnit
UO:0000096,cubic meter,cubic metre,http://www.ontology-of-units-of-measure.org/resource/om-2/cubicMetre
UO:0000097,cubic centimeter,cubic centimetre,http://www.ontology-of-units-of-measure.org/resource/om-2/cubicCentimetre
UO:0000098,milliliter,millilitre,http://www.ontology-of-units-of-measure.org/resource/om-2/millilitre
UO:0000099,liter,litre,http://www.ontology-of-units-of-measure.org/resource/om-2/litre
UO:0000100,cubic decimeter,cubic decimetre,http://www.ontology-of-units-of-measure.org/resource/om-2/cubicDecimetre
UO:0000101,microliter,microlitre,http://www.ontology-of-units-of-measure.org/resource/om-2/microlitre
UO:0000102,nanoliter,nanolitre,http://www.ontology-of-units-of-measure.org/resource/om-2/nanolitre
UO:0000103,picoliter,picolitre,http://www.ontology-of-units-of-measure.org/resource/om-2/picolitre
UO:0000104,femtoliter,femtolitre,http://www.ontology-of-units-of-measure.org/resource/om-2/femtolitre
UO:0000105,frequency unit,frequency unit,http://www.ontology-of-units-of-measure.org/resource/om-2/FrequencyUnit
UO:0000106,hertz,hertz,http://www.ontology-of-units-of-measure.org/resource/om-2/hertz
UO:0000107,force unit,force unit,http://www.ontology-of-units-of-measure.org/resource/om-2/ForceUnit
UO:0000108,newton,newton,http://www.ontology-of-units-of-measure.org/resource/om-2/newton
UO:0000109,pressure unit,pressure unit,http://www.ontology-of-units-of-measure.org/resource/om-2/PressureUnit
UO:0000110,pascal,pascal,http://www.ontology-of-units-of-measure.org/resource/om-2/pascal
