OM label,OM ID
,http://www.wurvoc.org/bibliography/om-2/IntroAstronomicalPhotometry
,http://www.wurvoc.org/bibliography/om-2/Brengt_Stroemgren
,http://www.wurvoc.org/bibliography/om-2/International_Astronomical_Union
,http://www.iau.org/static/resolutions/IAU2012_English.pdf
,http://www.wurvoc.org/bibliography/om-2/IntroAstronomicalPhotometry_chapter_2
,http://www.wurvoc.org/bibliography/om-2/chapter23_Astronomical_Algorithms
,http://www.wurvoc.org/bibliography/om-2/IntroAstronomicalPhotometryAuthors
,http://www.ontology-of-units-of-measure.org/resource/om-2/second-Anglee
,http://www.wurvoc.org/bibliography/om-2/Astrophysical_Techniques_chapter1
,http://www.wurvoc.org/bibliography/om-2/Stroemgren1956
,http://www.wurvoc.org/bibliography/om-2/Osman_Demircan
,http://www.ontology-of-units-of-measure.org/resource/om-2/Temperature_scale
,rdf:Seq
,http://www.ontology-of-units-of-measure.org/resource/om-2/milliamperehour
,http://www.ontology-of-units-of-measure.org/resource/om-2/gramPerday
,http://www.ontology-of-units-of-measure.org/resource/om-2/mile-International
,http://www.wurvoc.org/bibliography/om-2/VU
,http://www.openisbn.com/isbn/1891389459/
,http://www.wurvoc.org/bibliography/om-2/Kenneth_Siedelmann
,http://www.wurvoc.org/bibliography/om-2/Willmann_Bell
,http://purl.org/ontology/bibo/Journal
,http://www.wurvoc.org/bibliography/om-2/VistasAstronomy
,http://www.wurvoc.org/bibliography/om-2/chapter13_Astronomical_Algorithms
,http://www.ontology-of-units-of-measure.org/resource/om-2/oneDistinctSymbolChangeOrSignallingEventMadeToTheTransmissionMediumPerSecondInADigitallyModulatedSignalOrALineCode
,http://purl.org/ontology/bibo/Thesis
,http://purl.org/ontology/bibo/BookSection
,http://www.wurvoc.org/bibliography/om-2/ApJ
,http://www.wurvoc.org/bibliography/om-2/Glossary_Astronomical_Almanac
,http://www.ontology-of-units-of-measure.org/resource/om-2/amperehour
,http://www.wurvoc.org/bibliography/om-2/Jean_Meeus
,http://www.wurvoc.org/bibliography/om-2/Astrophysical_Techniques
,http://www.ontology-of-units-of-measure.org/resource/om-2/milligramPerday
,http://www.wurvoc.org/bibliography/om-2/Crawford1958Authors
,foaf:Person
,http://www.ontology-of-units-of-measure.org/resource/om-2/
,urn:isbn:0943396611
,http://www.wurvoc.org/bibliography/om-2/Cambridge_University_Press
,http://www.wurvoc.org/bibliography/om-2/Crawford1958
,http://www.ontology-of-units-of-measure.org/resource/om-2/squareMile-International
,foaf:Organization
,http://www.openisbn.com/isbn/9789462280618/
,http://www.wurvoc.org/bibliography/om-2/Edwin_Budding
,http://purl.org/ontology/bibo/Document
,http://purl.org/ontology/bibo/Book
,http://www.wurvoc.org/bibliography/om-2/University_Science_Books
,http://www.wurvoc.org/bibliography/om-2/Stroemgren1956Authors
,http://www.wurvoc.org/bibliography/om-2/CR_Kitchin
,http://www.wurvoc.org/bibliography/om-2/DLCrawford
,http://www.wurvoc.org/bibliography/om-2/Institute_of_Physics_Publishing
,http://www.wurvoc.org/bibliography/om-2/IAUDiv1WG
,http://purl.org/ontology/bibo/Standard
,http://purl.org/ontology/bibo/Chapter
,http://www.wurvoc.org/bibliography/om-2/IAU_2012_Resolution_B2
,http://purl.org/ontology/bibo/Article
,http://www.wurvoc.org/bibliography/om-2/Astrophysical_Techniques_chapter3
,http://www.wurvoc.org/bibliography/om-2/Hajo_Rijgersberg
-189.3442 on the Celsius scale,http://www.ontology-of-units-of-measure.org/resource/om-2/_-189.3442OnTheCelsiusScale
-218.7916 on the Celsius scale,http://www.ontology-of-units-of-measure.org/resource/om-2/_-218.7916OnTheCelsiusScale
-248.5939 on the Celsius scale,http://www.ontology-of-units-of-measure.org/resource/om-2/_-248.5939OnTheCelsiusScale
-259.3467 on the Celsius scale,http://www.ontology-of-units-of-measure.org/resource/om-2/_-259.3467OnTheCelsiusScale
-270.15 to -268.15 on the Celsius scale,http://www.ontology-of-units-of-measure.org/resource/om-2/_-270.15To-268.15OnTheCelsiusScale
-38.8344 on the Celsius scale,http://www.ontology-of-units-of-measure.org/resource/om-2/_-38.8344OnTheCelsiusScale
0-100,http://www.ontology-of-units-of-measure.org/resource/om-2/_0-100
0-5,http://www.ontology-of-units-of-measure.org/resource/om-2/_0-5
0.01 on the Celsius scale,http://www.ontology-of-units-of-measure.org/resource/om-2/_0.01OnTheCelsiusScale
1-10,http://www.ontology-of-units-of-measure.org/resource/om-2/_1-10
1-5,http://www.ontology-of-units-of-measure.org/resource/om-2/_1-5
1/0,http://www.ontology-of-units-of-measure.org/resource/om-2/_1-0
1/273.16 of the thermodynamic temperature of the triple point of water,http://www.ontology-of-units-of-measure.org/resource/om-2/_127316OfTheThermodynamicTemperatureOfTheTriplePointOfWater
100 kilometre,http://www.ontology-of-units-of-measure.org/resource/om-2/_100Kilometre
1000 colony forming unit,http://www.ontology-of-units-of-measure.org/resource/om-2/_1000ColonyFormingUnit
1000 colony forming unit per millilitre,http://www.ontology-of-units-of-measure.org/resource/om-2/_1000ColonyFormingUnitPerMillilitre
1040 nm Lockwood magnitude,http://www.ontology-of-units-of-measure.org/resource/om-2/_1040NanometreLockwoodMagnitude
1064.18 on the Celsius scale,http://www.ontology-of-units-of-measure.org/resource/om-2/_1064.18OnTheCelsiusScale
1084.62 on the Celsius scale,http://www.ontology-of-units-of-measure.org/resource/om-2/_1084.62OnTheCelsiusScale
1234.93 on the Kelvin scale,http://www.ontology-of-units-of-measure.org/resource/om-2/_1234.93OnTheKelvinScale
13.8033 on the Kelvin scale,http://www.ontology-of-units-of-measure.org/resource/om-2/_13.8033OnTheKelvinScale
1337.33 on the Kelvin scale,http://www.ontology-of-units-of-measure.org/resource/om-2/_1337.33OnTheKelvinScale
1357.77 on the Kelvin scale,http://www.ontology-of-units-of-measure.org/resource/om-2/_1357.77OnTheKelvinScale
156.5985 on the Celsius scale,http://www.ontology-of-units-of-measure.org/resource/om-2/_156.5985OnTheCelsiusScale
231.928 on the Celsius scale,http://www.ontology-of-units-of-measure.org/resource/om-2/_231.928OnTheCelsiusScale
234.3156 on the Kelvin scale,http://www.ontology-of-units-of-measure.org/resource/om-2/_234.3156OnTheKelvinScale
24.5561 on the Kelvin scale,http://www.ontology-of-units-of-measure.org/resource/om-2/_24.5561OnTheKelvinScale
25 millilitre,http://www.ontology-of-units-of-measure.org/resource/om-2/_25Millilitre
273.16 on the Kelvin scale,http://www.ontology-of-units-of-measure.org/resource/om-2/_273.16OnTheKelvinScale
29.7646 on the Celsius scale,http://www.ontology-of-units-of-measure.org/resource/om-2/_29.7646OnTheCelsiusScale
3 to 5 on the Kelvin scale,http://www.ontology-of-units-of-measure.org/resource/om-2/_3To5OnTheKelvinScale
302.9146 on the Kelvin scale,http://www.ontology-of-units-of-measure.org/resource/om-2/_302.9146OnTheKelvinScale
419.527 on the Celsius scale,http://www.ontology-of-units-of-measure.org/resource/om-2/_419.527OnTheCelsiusScale
429.7485 on the Kelvin scale,http://www.ontology-of-units-of-measure.org/resource/om-2/_429.7485OnTheKelvinScale
505.078 on the Kelvin scale,http://www.ontology-of-units-of-measure.org/resource/om-2/_505.078OnTheKelvinScale
54.3584 on the Kelvin scale,http://www.ontology-of-units-of-measure.org/resource/om-2/_54.3584OnTheKelvinScale
660.323 on the Celsius scale,http://www.ontology-of-units-of-measure.org/resource/om-2/_660.323OnTheCelsiusScale
692.677 on the Kelvin scale,http://www.ontology-of-units-of-measure.org/resource/om-2/_692.677OnTheKelvinScale
83.8058 on the Kelvin scale,http://www.ontology-of-units-of-measure.org/resource/om-2/_83.8058OnTheKelvinScale
9 192 631 770 periods of the radiation corresponding to the transition between the two hyperfine levels of the ground state of the cesium 133 atom,http://www.ontology-of-units-of-measure.org/resource/om-2/_9192631770PeriodsOfTheRadiationCorrespondingToTheTransitionBetweenTheTwoHyperfineLevelsOfTheGroundStateOfTheCesium133Atom
933.473 on the Kelvin scale,http://www.ontology-of-units-of-measure.org/resource/om-2/_933.473OnTheKelvinScale
961.78 on the Celsius scale,http://www.ontology-of-units-of-measure.org/resource/om-2/_961.78OnTheCelsiusScale
AFS,http://www.ontology-of-units-of-measure.org/resource/om-2/AFS
Alfvén number,http://www.ontology-of-units-of-measure.org/resource/om-2/AlfvenNumber
Alfvén number unit,http://www.ontology-of-units-of-measure.org/resource/om-2/AlfvenNumberUnit
Australian dollar,http://www.ontology-of-units-of-measure.org/resource/om-2/AustralianDollar
B magnitude,http://www.ontology-of-units-of-measure.org/resource/om-2/BMagnitude
B magnitude at maximum brightness,http://www.ontology-of-units-of-measure.org/resource/om-2/BMagnitudeAtMaximumBrightness
B magnitude at minimum brightness,http://www.ontology-of-units-of-measure.org/resource/om-2/BMagnitudeAtMinimumBrightness
Brazilian real,http://www.ontology-of-units-of-measure.org/resource/om-2/BrazilianReal
British thermal unit (39 °F),http://www.ontology-of-units-of-measure.org/resource/om-2/BritishThermalUnit-39F
British thermal unit (59 °F),http://www.ontology-of-units-of-measure.org/resource/om-2/BritishThermalUnit-59F
British thermal unit (60 °F),http://www.ontology-of-units-of-measure.org/resource/om-2/BritishThermalUnit-60F
British thermal unit (International Table),http://www.ontology-of-units-of-measure.org/resource/om-2/BritishThermalUnit-InternationalTable
British thermal unit (mean),http://www.ontology-of-units-of-measure.org/resource/om-2/BritishThermalUnit-Mean
British thermal unit (thermochemical),http://www.ontology-of-units-of-measure.org/resource/om-2/BritishThermalUnit-Thermochemical
Canadian dollar,http://www.ontology-of-units-of-measure.org/resource/om-2/CanadianDollar
Celsius scale,http://www.ontology-of-units-of-measure.org/resource/om-2/CelsiusScale
Celsius temperature,http://www.ontology-of-units-of-measure.org/resource/om-2/CelsiusTemperature
Celsius temperature scale,http://www.ontology-of-units-of-measure.org/resource/om-2/CelsiusTemperatureScale
Celsius temperature unit,http://www.ontology-of-units-of-measure.org/resource/om-2/CelsiusTemperatureUnit
Chinese yuan,http://www.ontology-of-units-of-measure.org/resource/om-2/ChineseYuan
Corynebacterium bovis count (specific),http://www.ontology-of-units-of-measure.org/resource/om-2/SpecificCorynebacteriumBovisCount
Corynebacterium bovis count (volumetric),http://www.ontology-of-units-of-measure.org/resource/om-2/VolumetricCorynebacteriumBovisCount
