UO ID,UO label
UO:0000006,substance unit
UO:0000045,base unit
UO:0000049,angular velocity unit
UO:0000051,concentration unit
UO:0000052,mass density unit
UO:0000058,rotational frequency unit
UO:0000060,speed/velocity unit
UO:0000061,unit of molarity
UO:0000062,molar
UO:0000063,millimolar
UO:0000064,micromolar
UO:0000065,nanomolar
UO:0000066,picomolar
UO:0000067,unit of molality
UO:0000068,molal
UO:0000069,millimolal
UO:0000070,micromolal
UO:0000071,nanomolal
UO:0000072,picomolal
UO:0000073,femtomolar
UO:0000074,unit of normality
UO:0000075,normal
UO:0000076,mole fraction
UO:0000077,meter per second per second
UO:0000078,radian per second per second
UO:0000088,gram per mole
UO:0000090,cubic centimeter per mole
UO:0000091,kilogram meter per second
UO:0000092,turns per second
UO:0000122,plane angle unit
UO:0000126,
UO:0000127,radiation unit
UO:0000128,activity (of a radionuclide) unit
UO:0000136,roentgen
UO:0000145,millicurie
UO:0000146,microcurie
UO:0000147,disintegrations per minute
UO:0000148,counts per minute
UO:0000149,
UO:0000151,century
UO:0000152,half life
UO:0000153,foot candle
UO:0000154,irradiance unit
UO:0000156,einstein per square meter per second
UO:0000157,light unit
UO:0000158,watt per steradian per square meter
UO:0000160,microeinstein per square meter per second
UO:0000163,mass percentage
UO:0000164,mass volume percentage
UO:0000165,volume percentage
UO:0000166,parts per notation unit
UO:0000167,parts per hundred
UO:0000168,parts per thousand
UO:0000170,parts per billion
UO:0000171,parts per trillion
UO:0000172,parts per quadrillion
UO:0000176,milligram per milliliter
UO:0000177,unit per volume unit
UO:0000178,unit per milliliter
UO:0000179,unit per liter
UO:0000180,mass per unit volume
UO:0000181,enzyme unit
UO:0000183,linear density unit
UO:0000184,kilogram per meter
UO:0000186,dimensionless unit
UO:0000188,pi
UO:0000191,fraction
UO:0000192,molecule count
UO:0000193,purity percentage
UO:0000194,confluence percentage
UO:0000196,pH
UO:0000197,liter per kilogram
UO:0000198,milliliter per kilogram
UO:0000199,microliter per kilogram
UO:0000200,cell concentration unit
UO:0000201,cells per milliliter
UO:0000202,catalytic (activity) concentration unit
UO:0000204,katal per liter
UO:0000205,volume per unit volume
UO:0000206,milliliter per cubic meter
UO:0000207,milliliter per liter
UO:0000211,plaque forming unit
UO:0000212,colony forming unit per volume
UO:0000214,plaque forming unit per volume
UO:0000215,plaque forming unit per milliliter
UO:0000216,disintegrations per second
UO:0000217,electric potential difference unit
UO:0000222,kilodalton
UO:0000223,watt-hour
UO:0000224,kilowatt-hour
UO:0000229,volt-hour
UO:0000230,kilovolt-hour
UO:0000231,information unit
UO:0000236,image resolution unit
UO:0000237,chroma sampling unit
UO:0000239,spatial resolution unit
UO:0000240,dots per inch
UO:0000241,micron pixel
UO:0000242,pixels per inch
UO:0000243,pixels per millimeter
UO:0000244,base pair
UO:0000255,dyne per cm
UO:0000256,viscosity unit
UO:0000260,effective dose unit
UO:0000261,conduction unit
UO:0000262,electrical conduction unit
UO:0000263,heat conduction unit
