UO ID,UO label,QUDT label,QUDT ID
UO:0000000,unit,Unit,http://qudt.org/schema/qudt/Unit
UO:0000008,meter,Metre,http://qudt.org/vocab/unit/M
UO:0000009,kilogram,Kilogram,http://qudt.org/vocab/unit/KiloGM
UO:0000010,second,Second,http://qudt.org/vocab/unit/SEC
UO:0000011,ampere,Ampere,http://qudt.org/vocab/unit/A
UO:0000012,kelvin,Kelvin,http://qudt.org/vocab/unit/K
UO:0000013,mole,Mole,http://qudt.org/vocab/unit/MOL
UO:0000014,candela,Candela,http://qudt.org/vocab/unit/CD
UO:0000015,centimeter,Centimeter,http://qudt.org/vocab/unit/CentiM
UO:0000016,millimeter,Millimeter,http://qudt.org/vocab/unit/MilliM
UO:0000017,micrometer,Micrometer,http://qudt.org/vocab/unit/MicroM
UO:0000018,nanometer,Nanometer,http://qudt.org/vocab/unit/NanoM
UO:0000019,angstrom,Angstrom,http://qudt.org/vocab/unit/ANGSTROM
UO:0000020,picometer,Picometer,http://qudt.org/vocab/unit/PicoM
UO:0000021,gram,Gram,http://qudt.org/vocab/unit/GM
UO:0000022,milligram,Milligram,http://qudt.org/vocab/unit/MilliGM
UO:0000023,microgram,Microgram,http://qudt.org/vocab/unit/MicroGM
UO:0000027,degree Celsius,Degree Celsius,http://qudt.org/vocab/unit/DEG_C
UO:0000028,millisecond,millisecond,http://qudt.org/vocab/unit/MilliSEC
UO:0000029,microsecond,microsecond,http://qudt.org/vocab/unit/MicroSEC
UO:0000030,picosecond,Picosecond,http://qudt.org/vocab/unit/PicoSEC
UO:0000031,minute,Minute,http://qudt.org/vocab/unit/MIN
UO:0000032,hour,Hour,http://qudt.org/vocab/unit/HR
UO:0000033,day,Day,http://qudt.org/vocab/unit/DAY
UO:0000034,week,Week,http://qudt.org/vocab/unit/WK
UO:0000035,month,Month,http://qudt.org/vocab/unit/MO
UO:0000036,year,Year,http://qudt.org/vocab/unit/YR
UO:0000037,milliampere,MilliAmpere,http://qudt.org/vocab/unit/MilliA
UO:0000038,microampere,microampere,http://qudt.org/vocab/unit/MicroA
UO:0000039,micromole,Micromole,http://qudt.org/vocab/unit/MicroMOL
UO:0000040,millimole,Millimole,http://qudt.org/vocab/unit/MilliMOL
UO:0000079,radian per second,radian per second,http://qudt.org/vocab/unit/RAD-PER-SEC
UO:0000080,square meter,Square Metre,http://qudt.org/vocab/unit/M2
UO:0000081,square centimeter,Square Centimetre,http://qudt.org/vocab/unit/CentiM2
UO:0000082,square millimeter,Square Millimeter,http://qudt.org/vocab/unit/MilliM2
UO:0000083,kilogram per cubic meter,Kilogram per Cubic Meter,http://qudt.org/vocab/unit/KiloGM-PER-M3
UO:0000084,gram per cubic centimeter,Gram Per Cubic Centimetre,http://qudt.org/vocab/unit/GM-PER-CentiM3
UO:0000085,candela per square meter,candela per square meter,http://qudt.org/vocab/unit/CD-PER-M2
UO:0000086,kilogram per square meter,Kilogram per Square Meter,http://qudt.org/vocab/unit/KiloGM-PER-M2
UO:0000088,gram per mole,Gram Per Mole,http://qudt.org/vocab/unit/GM-PER-MOL
UO:0000089,cubic meter per mole,Cubic Meter per Mole,http://qudt.org/vocab/unit/M3-PER-MOL
UO:0000090,cubic centimeter per mole,Cubic Centimetre Per Mole,http://qudt.org/vocab/unit/CentiM3-PER-MOL
UO:0000091,kilogram meter per second,Kilogram Meter Per Second,http://qudt.org/vocab/unit/KiloGM-M-PER-SEC
UO:0000093,cubic meter per kilogram,Cubic Meter per Kilogram,http://qudt.org/vocab/unit/M3-PER-KiloGM
UO:0000094,meter per second,Meter per Second,http://qudt.org/vocab/unit/M-PER-SEC
UO:0000096,cubic meter,Cubic Metre,http://qudt.org/vocab/unit/M3
UO:0000097,cubic centimeter,cubic centimetre,http://qudt.org/vocab/unit/CentiM3
UO:0000098,milliliter,Millilitre,http://qudt.org/vocab/unit/MilliL
UO:0000099,liter,Liter,http://qudt.org/vocab/unit/L
UO:0000100,cubic decimeter,Cubic Decimeter,http://qudt.org/vocab/unit/DeciM3
UO:0000101,microliter,Microlitre,http://qudt.org/vocab/unit/MicroL
UO:0000106,hertz,Hertz,http://qudt.org/vocab/unit/HZ
UO:0000108,newton,Newton,http://qudt.org/vocab/unit/N
UO:0000110,pascal,Pascal,http://qudt.org/vocab/unit/PA
UO:0000112,joule,Joule,http://qudt.org/vocab/unit/J
