ID,LABEL,SubClass Of,Equivalent Class,database_cross_reference
BFO:0000001,entity,,,
BFO:0000002,continuant,,,
BFO:0000003,occurrent,,,
BFO:0000015,process,,,
BFO:0000016,disposition,,,
BFO:0000023,role,,,
BFO:0000024,fiat object part,,,
BFO:0000027,object aggregate,,,
BFO:0000029,site,,,
BFO:0000030,object,,,
BFO:0000038,one-dimensional temporal region,,,
BFO:0000040,material entity,,,
BFO:0000146,two-dimensional continuant fiat boundary,,,
CARO:0000006,material anatomical entity,,,
CHEBI:140503,kaolin,,,
CHEBI:15022,electron donor,,,
CHEBI:15377,water,,,
CHEBI:15379,dioxygen,,,
CHEBI:15422,ATP,,,
CHEBI:15611,sarcosine,,,
CHEBI:16134,ammonia,,,
CHEBI:16136,hydrogen sulfide,,,
CHEBI:16183,methane,,,
CHEBI:16199,urea,,,
CHEBI:16236,ethanol,,,
CHEBI:16454,pantothenate,,,
CHEBI:16482,naphthalene,,,
CHEBI:16526,carbon dioxide,,,
CHEBI:16646,carbohydrate,,,
CHEBI:17245,carbon monoxide,,,
CHEBI:17347,testosterone,,,
CHEBI:17632,nitrate,,,
CHEBI:17654,electron acceptor,,,
CHEBI:17883,hydrogen chloride,,,
CHEBI:17997,dinitrogen,,,
CHEBI:18139,trimethylamine,,,
CHEBI:18248,iron atom,,,
CHEBI:18276,dihydrogen,,,
CHEBI:18291,manganese atom,,,
CHEBI:18310,alkane,,,
CHEBI:18422,sulfur dioxide,,,
CHEBI:23016,carbonates,,,
CHEBI:23377,copper molecular entity,,,
CHEBI:24431,chemical entity,,,
CHEBI:24632,hydrocarbon,,,
CHEBI:24835,inorganic molecular entity,,,
CHEBI:24866,salt,,,
CHEBI:24873,iron molecular entity,,,
CHEBI:25555,nitrogen atom,,,
CHEBI:25806,oxygen molecular entity,,,
CHEBI:25812,ozone,,,
CHEBI:26020,phosphate,,,
CHEBI:26490,quinate,,,
CHEBI:26710,sodium chloride,,,
CHEBI:26833,sulfur atom,,,
CHEBI:26835,sulfur molecular entity,,,
CHEBI:26986,threonine,,,
CHEBI:27275,vanadium molecular entity,,,
CHEBI:27338,xylene,,,
CHEBI:27563,arsenic atom,,,
CHEBI:27573,silicon atom,,,
CHEBI:27594,carbon atom,,,
CHEBI:27798,nitrobenzene,,,
CHEBI:27856,acetamide,,,
CHEBI:28659,phosphorus atom,,,
CHEBI:28938,ammonium,,,
CHEBI:28966,chlorophyll,,,
CHEBI:29125,arsenate(3-),,,
CHEBI:30187,aluminium oxide,,,
CHEBI:30563,silicon dioxide,,,
CHEBI:30762,salicylate,,,
CHEBI:32178,Talc,,,
CHEBI:3311,calcium carbonate,,,
CHEBI:33284,nutrient,,,
CHEBI:33292,fuel,,,
CHEBI:33499,uranium molecular entity,,,
CHEBI:33521,metal atom,,,
CHEBI:33582,carbon group molecular entity,,,
CHEBI:33585,lead molecular entity,,,
CHEBI:33608,hydrogen molecular entity,,,
CHEBI:33628,elemental aluminium,,,
CHEBI:33655,aromatic compound,,,
CHEBI:33663,cyclic hydrocarbon,,,
CHEBI:33666,polycyclic hydrocarbon,,,
CHEBI:33679,helium molecular entity,,,
CHEBI:33694,biomacromolecule,,,
CHEBI:33749,platinum molecular entity,,,
CHEBI:33937,macronutrient,,,
CHEBI:33969,gold molecular entity,,,
CHEBI:35196,nitrogen oxide,,,
CHEBI:35230,fossil fuel,,,
CHEBI:35404,chromate(2-),,,
CHEBI:36342,subatomic particle,,,
CHEBI:36908,argon molecular entity,,,
CHEBI:37133,barium molecular entity,,,
CHEBI:37134,elemental barium,,,
CHEBI:39285,chloropicrin,,,
CHEBI:46661,asbestos,,,
CHEBI:46662,mineral,,,
CHEBI:46787,solvent,,,
CHEBI:47032,"1,4-dioxane",,,
CHEBI:48154,sulfur oxide,,,
CHEBI:49976,zinc dichloride,,,
CHEBI:50594,carbon nanotube,,,
CHEBI:50816,iron oxide,,,
CHEBI:50860,organic molecular entity,,,
CHEBI:50906,role,,,
CHEBI:51143,nitrogen molecular entity,,,
CHEBI:53388,poly(hydroxybutyrate),,,
CHEBI:58454,kynurenate,,,
CHEBI:63248,oxidising agent,,,
CHEBI:64909,poison,,,
CHEBI:76413,greenhouse gas,,,
CHEBI:78298,environmental contaminant,,,
CHEBI:78433,refrigerant,,,
CHEBI:82661,diatomaceous earth,,,
CHEBI:9171,skatole,,,
ENVO:00000000,geographic feature,astronomical body part,,https://en.wikipedia.org/wiki/Geographic_feature
ENVO:00000001,bedding-plane cave,cave,,
ENVO:00000002,anthropogenic geographic feature,geographic feature,'geographic feature' and ('formed as result of' some anthropisation),FTT:78|TGN:50001
ENVO:00000003,mine tailing,anthropogenic environmental material,,FTT:625|FTT:631
ENVO:00000004,administrative region,site,,FTT:1242|FTT:1252|FTT:15|FTT:16|FTT:18|FTT:19|FTT:21|FTT:22|FTT:23|FTT:24|FTT:25|FTT:26|FTT:27|FTT:28|FTT:29|FTT:37|SWEETRealm:AdministrativeRegion|TGN:80001|TGN:81099|TGN:81123|https://en.wikipedia.org/wiki/Administrative_region
ENVO:00000005,first-order administrative region,'part of' some 'national geopolitical entity'|administrative region,,FTT:414|FTT:569|Geonames:A.ADM1|TGN:81100
ENVO:00000006,second-order administrative region,'part of' some 'first-order administrative region'|administrative region,,FTT:286|FTT:576|Geonames:A.ADM2|TGN:81300
ENVO:00000007,third-order administrative region,'part of' some 'second-order administrative region'|administrative region,,FTT:204|FTT:205|FTT:578|Geonames:A.ADM3|TGN:82401
ENVO:00000008,fourth-order administrative region,'part of' some 'third-order administrative region'|administrative region,,FTT:580|FTT:581|Geonames:A.ADM4|TGN:82402
