ID,LABEL,Type,ucumCode,description,expression,isDefinedBy
http://qudt.org/2.1/vocab/prefix/Atto,Atto,Named individual,,,,
http://qudt.org/2.1/vocab/prefix/Centi,Centi,Named individual,,,,
http://qudt.org/2.1/vocab/prefix/Deca,Deca,Named individual,,,,
http://qudt.org/2.1/vocab/prefix/Deci,Deci,Named individual,,,,
http://qudt.org/2.1/vocab/prefix/Exa,Exa,Named individual,,,,
http://qudt.org/2.1/vocab/prefix/Exbi,Exbi,Named individual,,,,
http://qudt.org/2.1/vocab/prefix/Femto,Femto,Named individual,,,,
http://qudt.org/2.1/vocab/prefix/Giga,Giga,Named individual,,,,
http://qudt.org/2.1/vocab/prefix/Hecto,Hecto,Named individual,,,,
http://qudt.org/2.1/vocab/prefix/Kibi,Kibi,Named individual,,,,
http://qudt.org/2.1/vocab/prefix/Kilo,Kilo,Named individual,,,,
http://qudt.org/2.1/vocab/prefix/Mega,Mega,Named individual,,,,
http://qudt.org/2.1/vocab/prefix/Micro,Micro,Named individual,,,,
http://qudt.org/2.1/vocab/prefix/Milli,Milli,Named individual,,,,
http://qudt.org/2.1/vocab/prefix/Nano,Nano,Named individual,,,,
http://qudt.org/2.1/vocab/prefix/Pebi,Pebi,Named individual,,,,
http://qudt.org/2.1/vocab/prefix/Peta,Peta,Named individual,,,,
http://qudt.org/2.1/vocab/prefix/Pico,Pico,Named individual,,,,
http://qudt.org/2.1/vocab/prefix/Tera,Tera,Named individual,,,,
http://qudt.org/2.1/vocab/prefix/Yocto,Yocto,Named individual,,,,
http://qudt.org/2.1/vocab/prefix/Yotta,Yotta,Named individual,,,,
http://qudt.org/2.1/vocab/prefix/Zepto,Zepto,Named individual,,,,
http://qudt.org/2.1/vocab/prefix/Zetta,Zetta,Named individual,,,,
http://qudt.org/schema/qudt/CountingUnit,Counting Unit,Class,,,,
http://qudt.org/schema/qudt/CurrencyUnit,Currency Unit,Class,,,,
http://qudt.org/schema/qudt/DerivedUnit,Derived Unit,Class,,,,
http://qudt.org/schema/qudt/DimensionlessUnit,Dimensionless Unit,Class,,,,
http://qudt.org/schema/qudt/LogarithmicUnit,Logarithmic Unit,Class,,,,
http://qudt.org/schema/qudt/Unit,Unit,Class,,,,
http://qudt.org/schema/qudt/ValueForElectronVolt,,Named individual,,,,
http://qudt.org/vocab/dimensionvector/A-1E0L-3I0M0H0T0D0,,Named individual,,,,
http://qudt.org/vocab/dimensionvector/A-1E0L0I0M0H0T0D0,A-1E0L0I0M0H0T0D0,Named individual,,,,
http://qudt.org/vocab/dimensionvector/A-1E0L0I0M1H0T0D0,A-1E0L0I0M1H0T0D0,Named individual,,,,
http://qudt.org/vocab/dimensionvector/A-1E0L2I0M1H-1T-2D0,A-1E0L2I0M1H-1T-2D0,Named individual,,,,
http://qudt.org/vocab/dimensionvector/A-1E0L2I0M1H0T-1D0,A-1E0L2I0M1H0T-1D0,Named individual,,,,
http://qudt.org/vocab/dimensionvector/A-1E0L2I0M1H0T-2D0,A-1E0L2I0M1H0T-2D0,Named individual,,,,
http://qudt.org/vocab/dimensionvector/A-1E0L3I0M0H0T0D0,A-1E0L3I0M0H0T0D0,Named individual,,,,
http://qudt.org/vocab/dimensionvector/A-1E0L3I0M1H0T-2D0,A-1E0L3I0M1H0T-2D0,Named individual,,,,
http://qudt.org/vocab/dimensionvector/A-1E1L-3I0M0H0T0D0,,Named individual,,,,
http://qudt.org/vocab/dimensionvector/A-1E1L0I0M0H0T1D0,A-1E1L0I0M0H0T1D0,Named individual,,,,
http://qudt.org/vocab/dimensionvector/A0E-1L0I0M1H0T-1D0,A0E-1L0I0M1H0T-1D0,Named individual,,,,
http://qudt.org/vocab/dimensionvector/A0E-1L0I0M1H0T-2D0,A0E-1L0I0M1H0T-2D0,Named individual,,,,
http://qudt.org/vocab/dimensionvector/A0E-1L0I0M1H0T-3D0,A0E-1L0I0M1H0T-3D0,Named individual,,,,
http://qudt.org/vocab/dimensionvector/A0E-1L1I0M1H0T-2D0,A0E-1L1I0M1H0T-2D0,Named individual,,,,
http://qudt.org/vocab/dimensionvector/A0E-1L1I0M1H0T-3D0,A0E-1L1I0M1H0T-3D0,Named individual,,,,
http://qudt.org/vocab/dimensionvector/A0E-1L2I0M1H0T-2D0,A0E-1L2I0M1H0T-2D0,Named individual,,,,
http://qudt.org/vocab/dimensionvector/A0E-1L2I0M1H0T-3D0,A0E-1L2I0M1H0T-3D0,Named individual,,,,
http://qudt.org/vocab/dimensionvector/A0E-1L2I0M1H0T-4D0,A0E-1L2I0M1H0T-4D0,Named individual,,,,
http://qudt.org/vocab/dimensionvector/A0E-1L3I0M1H0T-3D0,A0E-1L3I0M1H0T-3D0,Named individual,,,,
http://qudt.org/vocab/dimensionvector/A0E-2L2I0M1H0T-2D0,A0E-2L2I0M1H0T-2D0,Named individual,,,,
http://qudt.org/vocab/dimensionvector/A0E-2L2I0M1H0T-3D0,A0E-2L2I0M1H0T-3D0,Named individual,,,,
http://qudt.org/vocab/dimensionvector/A0E-2L3I0M1H0T-4D0,A0E-2L3I0M1H0T-4D0,Named individual,,,,
http://qudt.org/vocab/dimensionvector/A0E0L-1I0M-1H1T3D0,A0E0L-1I0M-1H1T3D0,Named individual,,,,
http://qudt.org/vocab/dimensionvector/A0E0L-1I0M0H-1T0D0,A0E0L-1I0M0H-1T0D0,Named individual,,,,
http://qudt.org/vocab/dimensionvector/A0E0L-1I0M0H0T-1D0,,Named individual,,,,
http://qudt.org/vocab/dimensionvector/A0E0L-1I0M0H0T0D0,A0E0L-1I0M0H0T0D0,Named individual,,,,
http://qudt.org/vocab/dimensionvector/A0E0L-1I0M0H0T1D0,A0E0L-1I0M0H0T1D0,Named individual,,,,
http://qudt.org/vocab/dimensionvector/A0E0L-1I0M0H1T0D0,,Named individual,,,,
http://qudt.org/vocab/dimensionvector/A0E0L-1I0M1H-1T-2D0,A0E0L-1I0M1H-1T-2D0,Named individual,,,,
http://qudt.org/vocab/dimensionvector/A0E0L-1I0M1H0T-1D0,A0E0L-1I0M1H0T-1D0,Named individual,,,,
http://qudt.org/vocab/dimensionvector/A0E0L-1I0M1H0T-2D0,A0E0L-1I0M1H0T-2D0,Named individual,,,,
http://qudt.org/vocab/dimensionvector/A0E0L-1I0M1H0T-3D0,A0E0L-1I0M1H0T-3D0,Named individual,,,,
http://qudt.org/vocab/dimensionvector/A0E0L-1I0M1H0T0D0,A0E0L-1I0M1H0T0D0,Named individual,,,,
http://qudt.org/vocab/dimensionvector/A0E0L-1I0M1H1T-3D0,,Named individual,,,,
http://qudt.org/vocab/dimensionvector/A0E0L-2I0M-1H0T2D0,A0E0L-2I0M-1H0T2D0,Named individual,,,,
http://qudt.org/vocab/dimensionvector/A0E0L-2I0M-1H1T3D0,A0E0L-2I0M-1H1T3D0,Named individual,,,,
http://qudt.org/vocab/dimensionvector/A0E0L-2I0M0H0T-1D0,A0E0L-2I0M0H0T-1D0,Named individual,,,,
http://qudt.org/vocab/dimensionvector/A0E0L-2I0M0H0T-2D0,,Named individual,,,,
http://qudt.org/vocab/dimensionvector/A0E0L-2I0M0H0T0D0,,Named individual,,,,
http://qudt.org/vocab/dimensionvector/A0E0L-2I0M1H0T-1D0,A0E0L-2I0M1H0T-1D0,Named individual,,,,
http://qudt.org/vocab/dimensionvector/A0E0L-2I0M1H0T-2D0,A0E0L-2I0M1H0T-2D0,Named individual,,,,
http://qudt.org/vocab/dimensionvector/A0E0L-2I0M1H0T0D0,A0E0L-2I0M1H0T0D0,Named individual,,,,
http://qudt.org/vocab/dimensionvector/A0E0L-2I0M1H1T0D0,,Named individual,,,,
http://qudt.org/vocab/dimensionvector/A0E0L-2I0M2H0T-6D0,,Named individual,,,,
http://qudt.org/vocab/dimensionvector/A0E0L-2I1M0H0T0D0,A0E0L-2I1M0H0T0D0,Named individual,,,,
http://qudt.org/vocab/dimensionvector/A0E0L-3I0M0H0T-1D0,A0E0L-3I0M0H0T-1D0,Named individual,,,,
http://qudt.org/vocab/dimensionvector/A0E0L-3I0M0H0T0D0,A0E0L-3I0M0H0T0D0,Named individual,,,,
http://qudt.org/vocab/dimensionvector/A0E0L-3I0M1H0T-1D0,,Named individual,,,,
http://qudt.org/vocab/dimensionvector/A0E0L-3I0M1H0T-3D0,,Named individual,,,,
http://qudt.org/vocab/dimensionvector/A0E0L-3I0M1H0T0D0,A0E0L-3I0M1H0T0D0,Named individual,,,,
http://qudt.org/vocab/dimensionvector/A0E0L-4I0M-2H0T4D0,A0E0L-4I0M-2H0T4D0,Named individual,,,,
http://qudt.org/vocab/dimensionvector/A0E0L0I0M-1H0T-1D0,,Named individual,,,,
http://qudt.org/vocab/dimensionvector/A0E0L0I0M-1H0T0D0,,Named individual,,,,
http://qudt.org/vocab/dimensionvector/A0E0L0I0M-1H1T3D0,A0E0L0I0M-1H1T3D0,Named individual,,,,
http://qudt.org/vocab/dimensionvector/A0E0L0I0M-2H0T0D0,A0E0L0I0M-2H0T0D0,Named individual,,,,
http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H-1T-1D0,A0E0L0I0M0H-1T-1D0,Named individual,,,,
http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T-1D0,A0E0L0I0M0H0T-1D0,Named individual,,,,
http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T-1D1,A0E0L0I0M0H0T-1D1,Named individual,,,,
http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T-2D0,A0E0L0I0M0H0T-2D0,Named individual,,,,
http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T0D1,A0E0L0I0M0H0T0D1,Named individual,,,,
http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T1D0,A0E0L0I0M0H0T1D0,Named individual,,,,
http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T2D0,A0E0L0I0M0H0T2D0,Named individual,,,,
http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H1T-1D0,A0E0L0I0M0H1T-1D0,Named individual,,,,
http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H1T0D0,A0E0L0I0M0H1T0D0,Named individual,,,,
http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H1T1D0,A0E0L0I0M0H1T1D0,Named individual,,,,
http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H2T-1D0,,Named individual,,,,
http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H2T0D0,,Named individual,,,,
http://qudt.org/vocab/dimensionvector/A0E0L0I0M1H-1T-3D0,A0E0L0I0M1H-1T-3D0,Named individual,,,,
http://qudt.org/vocab/dimensionvector/A0E0L0I0M1H-4T-3D0,A0E0L0I0M1H-4T-3D0,Named individual,,,,
http://qudt.org/vocab/dimensionvector/A0E0L0I0M1H0T-1D0,A0E0L0I0M1H0T-1D0,Named individual,,,,
http://qudt.org/vocab/dimensionvector/A0E0L0I0M1H0T-2D0,A0E0L0I0M1H0T-2D0,Named individual,,,,
