SI_symbol,NC_symbol,UCUM_symbol,label_en,label_fr,SI_category,Notes
A,A,A,ampere,ampère,Base unit,
cd,cd,cd,candela,candela,Base unit,
K,K,K,kelvin,kelvin,Base unit,
mol,mol,mol,mole,mole,Base unit,
m,m,m,metre,mètre,Base unit,
s,s,s,second,seconde,Base unit,
g,g,g,gram,gramme,Base unit*,mentions kg not g
Bq,Bq,Bq,becquerel,becquerel,Special named,
C,C,C,coulomb,coulomb,Special named,
°C,Cel,Cel,degree Celsius,degré Celsius,Special named,
F,F,F,farad,farad,Special named,
Gy,Gy,Gy,gray,gray,Special named,
Hz,Hz,Hz,hertz,hertz,Special named,
H,H,H,henry,henry,Special named,
J,J,J,joule,joule,Special named,
kat,kat,kat,katal,katal,Special named,
lm,lm,lm,lumen,lumen,Special named,
lx,lx,lx,lux,lux,Special named,
N,N,N,newton,newton,Special named,
Ω,Ohm,Ohm,ohm,ohm,Special named,
Pa,Pa,Pa,pascal,pascal,Special named,
rad,rad,rad,radian,radian,Special named,
Sv,Sv,Sv,sievert,sievert,Special named,
sr,sr,sr,steradian,stéradian,Special named,
S,S,S,siemens,siemens,Special named,
T,T,T,tesla,tesla,Special named,
V,V,V,volt,volt,Special named,
Wb,Wb,Wb,weber,weber,Special named,
W,W,W,watt,watt,Special named,
au,au,AU,astronomical unit,unité astronomique,Non-SI units accepted for use,
B,B,B,bel,bel,Non-SI units accepted for use,"Also mentions ""dB"""
°,deg,deg,plane angle degree,angle plan et de phase degré,Non-SI units accepted for use,
d,d,d,day,jour,Non-SI units accepted for use,
Da,Da,u,dalton,dalton,Non-SI units accepted for use,"Alt symbol ""u"""
eV,eV,eV,electronvolt,électronvolt,Non-SI units accepted for use,
h,h,h,hour,heure,Non-SI units accepted for use,
l,L,L,litre,litre,Non-SI units accepted for use,"Also has symbol ""L"""
L,L,L,litre,litre,Non-SI units accepted for use,"Also has symbol ""l"""
min,min,min,minute,minute,Non-SI units accepted for use,
Np,Np,Np,neper,néper,Non-SI units accepted for use,
t,t,t,tonne,tonne,Non-SI units accepted for use,"Alt label ""metric ton"""
′,PAM,',plane angle minute,angle plan et de phase minute,Non-SI units accepted for use,"Alt label ""arcsecond"""
′′,PAS,'',plane angle second,angle plan et de phase seconde,Non-SI units accepted for use,
a,ar,ar,are,are,Non-SI units accepted for use*,"Mentions ""ha"" not ""a"""
