ontology ID,label,Type,has_obo_namespace,SubClass Of,has_prefix,is_unit_of,definition,definition cross reference,comment,exact synonym,narrow synonym,related synonym,created_by,creation date,in_subset,has_alternative_id
ID,AL rdfs:label@en,TYPE,A oboInOwl:hasOBONamespace,SC % SPLIT=|,SC ('has prefix' only %) SPLIT=|,SC (is_unit_of only %) SPLIT=|,AL IAO:0000115@en,>A oboInOwl:hasDbXref SPLIT=|,AL rdfs:comment@en,AL oboInOwl:hasExactSynonym@en SPLIT=|,AL oboInOwl:hasNarrowSynonym@en SPLIT=|,AL oboInOwl:hasRelatedSynonym@en SPLIT=|,A oboInOwl:created_by SPLIT=|,A oboInOwl:creation_date,A oboInOwl:inSubset,A oboInOwl:hasAlternativeId
PATO:0000008,speed,class,,,,,,,,,,,,,,
PATO:0000033,concentration of,class,,,,,,,,,,,,,,
PATO:0000044,frequency,class,,,,,,,,,,,,,,
PATO:0000125,mass,class,,,,,,,,,,,,,,
PATO:0000128,weight,class,,,,,,,,,,,,,,
PATO:0000133,orientation,class,,,,,,,,,,,,,,
PATO:0000146,temperature,class,,,,,,,,,,,,,,
PATO:0000165,time,class,,,,,,,,,,,,,,
PATO:0000992,viscosity,class,,,,,,,,,,,,,,
PATO:0001019,mass density,class,,,,,,,,,,,,,,
PATO:0001021,energy,class,,,,,,,,,,,,,,
PATO:0001022,impulse,class,,,,,,,,,,,,,,
PATO:0001023,momentum,class,,,,,,,,,,,,,,
PATO:0001024,power,class,,,,,,,,,,,,,,
PATO:0001025,pressure,class,,,,,,,,,,,,,,
PATO:0001026,work,class,,,,,,,,,,,,,,
PATO:0001028,acceleration,class,,,,,,,,,,,,,,
PATO:0001035,force,class,,,,,,,,,,,,,,
PATO:0001296,luminous flux,class,,,,,,,,,,,,,,
PATO:0001299,radiation emitting quality,class,,,,,,,,,,,,,,
PATO:0001309,duration quality of a process,class,,,,,,,,,,,,,,
PATO:0001350,angular acceleration,class,,,,,,,,,,,,,,
PATO:0001351,area density,class,,,,,,,,,,,,,,
PATO:0001352,linear density,class,,,,,,,,,,,,,,
PATO:0001353,volumetric density,class,,,,,,,,,,,,,,
PATO:0001413,angular velocity,class,,,,,,,,,,,,,,
PATO:0001414,catalytic activity,class,,,,,,,,,,,,,,
PATO:0001428,medium acidity,class,,,,,,,,,,,,,,
PATO:0001461,surface tension,class,,,,,,,,,,,,,,
PATO:0001464,electric potential,class,,,,,,,,,,,,,,
PATO:0001521,sound amplitude,class,,,,,,,,,,,,,,
PATO:0001574,flow rate,class,,,,,,,,,,,,,,
PATO:0001674,catalytic (activity) concentration,class,,,,,,,,,,,,,,
PATO:0001680,molar volume,class,,,,,,,,,,,,,,
PATO:0001681,molar mass,class,,,,,,,,,,,,,,
PATO:0001682,magnetism,class,,,,,,,,,,,,,,
PATO:0001708,1-D extent,class,,,,,,,,,,,,,,
PATO:0001709,2-D extent,class,,,,,,,,,,,,,,
PATO:0001710,3-D extent,class,,,,,,,,,,,,,,
PATO:0001717,radiation emitting intensity quality,class,,,,,,,,,,,,,,
PATO:0001718,luminance,class,,,,,,,,,,,,,,
PATO:0001740,activity (of a radionuclide),class,,,,,,,,,,,,,,
PATO:0001744,radiation exposure,class,,,,,,,,,,,,,,
PATO:0001745,radiation absorbed dose,class,,,,,,,,,,,,,,
PATO:0001746,radiation equivalent dose,class,,,,,,,,,,,,,,
PATO:0001747,radiation effective dose,class,,,,,,,,,,,,,,
PATO:0001756,heat conductivity,class,,,,,,,,,,,,,,
PATO:0001757,electrical conductivity,class,,,,,,,,,,,,,,
UO:0000000,unit,class,unit.ontology,,,,A unit of measurement is a standardized quantity of a physical quality.,Wikipedia:Wikipedia,,,,,george gkoutos,,,
UO:0000001,length unit,class,unit.ontology,unit,,PATO:0001708,A unit which is a standard measure of the distance between two points.,Wikipedia:Wikipedia,,,,,george gkoutos,,unit_group_slim,
UO:0000002,mass unit,class,unit.ontology,unit,,PATO:0000125|PATO:0000128,A unit which is a standard measure of the amount of matter/energy of a physical object.,Wikipedia:Wikipedia,,,,,george gkoutos,,unit_group_slim,
UO:0000003,time unit,class,unit.ontology,unit,,PATO:0000165|PATO:0001309,A unit which is a standard measure of the dimension in which events occur in sequence.,Wikipedia:Wikipedia,,time derived unit,,,george gkoutos,,unit_group_slim,UO:0000149
UO:0000004,electric current unit,class,unit.ontology,unit,,,A unit which is a standard measure of the flow of electric charge.,Wikipedia:Wikipedia,,,,,george gkoutos,,unit_group_slim,
UO:0000005,temperature unit,class,unit.ontology,unit,,PATO:0000146,A unit which is a standard measure of the average kinetic energy of the particles in a sample of matter.,Wikipedia:Wikipedia,,temperature derived unit,,,george gkoutos,,unit_group_slim,UO:0000126
UO:0000006,substance unit,class,unit.ontology,unit,,,A unit which is a standardised quantity of an element or compound with uniform composition.,Wikipedia:Wikipedia,,,,,george gkoutos,,unit_group_slim,
UO:0000007,luminous intensity unit,class,unit.ontology,light unit,,,A unit which is a standard measure of the wavelength-weighted power emitted by a light source in a particular direction.,Wikipedia:Wikipedia,,,,,george gkoutos,,unit_group_slim,
UO:0000008,meter,class,unit.ontology,base unit|length unit,,,A length unit which is equal to the length of the path traveled by light in vacuum during a time interval of 1/299 792 458 of a second.,BIPM:BIPM|NIST:NIST,,m|metre,,,george gkoutos,,unit_slim,
UO:0000009,kilogram,class,unit.ontology,base unit|mass unit,UO:0000294,,"A mass unit which is equal to the mass of the International Prototype Kilogram kept by the BIPM at Svres, France.",BIPM:BIPM|NIST:NIST,,kg,,,george gkoutos,,unit_slim,
UO:0000010,second,class,unit.ontology,base unit|time unit,,,A time unit which is equal to the duration of 9 192 631 770 periods of the radiation corresponding to the transition between the two hyperfine levels of the ground state of the caesium 133 atom.,BIPM:BIPM|NIST:NIST,,s,,,george gkoutos,,unit_slim,
UO:0000011,ampere,class,unit.ontology,base unit|electric current unit,,,"An electric current unit which is equal to the constant current which, if maintained in two straight parallel conductors of infinite length, of negligible circular cross-section, and placed 1 m apart in vacuum, would produce between these conductors a force equal to 2 x 10^[-7] newton per meter of length.",BIPM:BIPM|NIST:NIST,,A,,,george gkoutos,,unit_slim,
UO:0000012,kelvin,class,unit.ontology,base unit|temperature unit,,,A thermodynamic temperature unit which is equal to the fraction 1/273.16 of the thermodynamic temperature of the triple point of water.,BIPM:BIPM|NIST:NIST,,K,,,george gkoutos,,unit_slim,
UO:0000013,mole,class,unit.ontology,base unit|substance unit,,,A substance unit which is equal to the amount of substance of a molecular system which contains as many elementary entities as there are atoms in 0.012 kilogram of carbon 12.,BIPM:BIPM|NIST:NIST,,mol,,,george gkoutos,,unit_slim,
UO:0000014,candela,class,unit.ontology,base unit|luminous intensity unit,,,"A luminous intensity unit which equal to the luminous intensity, in a given direction, of a source that emits monochromatic radiation of frequency 540 x 1012 hertz and that has a radiant intensity in that direction of 1/683 watt per steradian.",BIPM:BIPM|NIST:NIST,,cd,,,george gkoutos,,unit_slim,
UO:0000015,centimeter,class,unit.ontology,length unit,,,A length unit which is equal to one hundredth of a meter or 10^[-2] m.,NIST:NIST,,centimetre|cm,,,george gkoutos,,unit_slim,
UO:0000016,millimeter,class,unit.ontology,length unit,,,A length unit which is equal to one thousandth of a meter or 10^[-3] m.,NIST:NIST,,micrometre|mm,,,george gkoutos,,unit_slim,
UO:0000017,micrometer,class,unit.ontology,length unit,,,A length unit which is equal to one millionth of a meter or 10^[-6] m.,NIST:NIST,,micrometre|micron|um,,,george gkoutos,,unit_slim,
UO:0000018,nanometer,class,unit.ontology,length unit,,,A length unit which is equal to one thousandth of one millionth of a meter or 10^[-9] m.,NIST:NIST,,nanometre|nm,,,george gkoutos,,unit_slim,
UO:0000019,angstrom,class,unit.ontology,length unit,,,A length unit which is equal to 10 [-10] m.,NIST:NIST,,Å,,,george gkoutos,,unit_slim,
UO:0000020,picometer,class,unit.ontology,length unit,,,A length unit which is equal to 10^[-12] m.,NIST:NIST,,picometre|pm,,,george gkoutos,,unit_slim,
UO:0000021,gram,class,unit.ontology,mass unit,,,A mass unit which is equal to one thousandth of a kilogram or 10^[-3] kg.,NIST:NIST,,g,,,george gkoutos,,unit_slim,
UO:0000022,milligram,class,unit.ontology,mass unit,,,A mass unit which is equal to one thousandth of a gram or 10^[-3] g.,UOC:GVG,,mg,,,george gkoutos,,unit_slim,
UO:0000023,microgram,class,unit.ontology,mass unit,,,A mass unit which is equal to one millionth of a gram or 10^[-6] g.,UOC:GVG,,ug,,,george gkoutos,,unit_slim,
UO:0000024,nanogram,class,unit.ontology,mass unit,,,A mass unit which is equal to one thousandth of one millionth of a gram or 10^[-9] g.,UOC:GVG,,ng,,,george gkoutos,,unit_slim,
UO:0000025,picogram,class,unit.ontology,mass unit,,,A mass unit which is equal to 10^[-12] g.,UOC:GVG,,pg,,,george gkoutos,,unit_slim,
UO:0000026,femtogram,class,unit.ontology,mass unit,,,A mass unit which is equal to 10^[-15] g.,NIST:NIST,,fg,,,george gkoutos,,unit_slim,
UO:0000027,degree Celsius,class,unit.ontology,temperature unit,,,"A temperature unit which is equal to one kelvin degree. However, they have their zeros at different points. The centigrade scale has its zero at 273.15 K.",NIST:NIST,,C,,,george gkoutos,,unit_slim,
UO:0000028,millisecond,class,unit.ontology,time unit,,,A time unit which is equal to one thousandth of a second or 10^[-3] s.,NIST:NIST,,ms,,,george gkoutos,,unit_slim,
UO:0000029,microsecond,class,unit.ontology,time unit,,,A time unit which is equal to one millionth of a second or 10^[-6] s.,NIST:NIST,,us,,,george gkoutos,,unit_slim,
UO:0000030,picosecond,class,unit.ontology,time unit,,,A time unit which is equal to 10^[-12] s.,NIST:NIST,,ps,,,george gkoutos,,unit_slim,
UO:0000031,minute,class,unit.ontology,time unit,,,A time unit which is equal to 60 seconds.,Wikipedia:Wikipedia,,min,,,george gkoutos,,unit_slim,
UO:0000032,hour,class,unit.ontology,time unit,,,A time unit which is equal to 3600 seconds or 60 minutes.,Wikipedia:Wikipedia,,h,,,george gkoutos,,unit_slim,
